anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,licensor,studio,aired_from,aired_to
11013,Inu x Boku SS,Inu X Boku Secret Service,妖狐×僕SS,Youko x Boku SS,https://cdn.myanimelist.net/images/anime/12/35893.jpg,TV,Manga,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274.0,231,283882,2809,Winter 2012,Sentai Filmworks,David Production,2012-01-13,2012-03-30
2104,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,The Inland Sea Bride,https://cdn.myanimelist.net/images/anime/13/58383.jpg,TV,Manga,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727.0,366,204003,2579,Spring 2007,Funimation,Gonzo,2007-04-02,2007-10-01
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,しゅごキャラ！！どきっ,"Shugo Chara Ninenme, Shugo Chara! Second Year",https://cdn.myanimelist.net/images/anime/11/10645.jpg,TV,Manga,51,Finished Airing,24 min. per ep.,PG - Children,7.55,37129,1508.0,1173,70127,802,Fall 2008,,Satelight,2008-10-04,2009-09-25
721,Princess Tutu,Princess Tutu,プリンセスチュチュ,,https://cdn.myanimelist.net/images/anime/13/32209.jpg,TV,Original,38,Finished Airing,16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,307.0,916,93312,3344,Summer 2002,ADV Films,Hal Film Maker,2002-08-16,2003-05-23
12365,Bakuman. 3rd Season,Bakuman.,バクマン。,Bakuman Season 3,https://cdn.myanimelist.net/images/anime/6/41845.jpg,TV,Manga,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,50.0,426,182765,2082,Fall 2012,,J.C.Staff,2012-10-06,2013-03-30
6586,Yume-iro Pâtissière,,夢色パティシエール,"Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière",https://cdn.myanimelist.net/images/anime/12/21674.jpg,TV,Manga,50,Finished Airing,24 min. per ep.,G - All Ages,8.03,21618,526.0,1630,45625,826,Fall 2009,,"Studio Pierrot, Studio Hibari",2009-10-04,2010-09-26
178,Ultra Maniac,Ultramaniac - Magical Girl,ウルトラマニアック,,https://cdn.myanimelist.net/images/anime/8/53571.jpg,TV,Manga,26,Finished Airing,24 min. per ep.,G - All Ages,7.26,9663,2594.0,2490,22778,122,Spring 2003,"Discotek Media, Geneon Entertainment USA",Production Reed,2003-05-20,2003-11-11
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,灼眼のシャナII –Second–,Shakugan no Shana 2,https://cdn.myanimelist.net/images/anime/10/18669.jpg,TV,Light novel,24,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,1066.0,332,220591,1075,Fall 2007,Funimation,J.C.Staff,2007-10-05,2008-03-28
4477,Nodame Cantabile: Paris-hen,,のだめカンタービレ 巴里編,"Nodame Cantabile Paris Chapter, Nodame Cantabile Pari-hen",https://cdn.myanimelist.net/images/anime/4/11918.jpg,TV,Manga,11,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,281.0,988,85660,282,Fall 2008,,J.C.Staff,2008-10-10,2008-12-19
853,Ouran Koukou Host Club,Ouran High School Host Club,桜蘭高校ホスト部,"Ohran Koko Host Club, Ouran Koukou Hosutobu, Ouran Koukou Host Bu, OHSHC",https://cdn.myanimelist.net/images/anime/2/71992.jpg,TV,Manga,26,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205.0,69,538843,24072,Spring 2006,Funimation,Bones,2006-04-05,2006-09-27
4814,Junjou Romantica 2,Junjo Romantica 2,純情ロマンチカ2(に),"Junjou Romantica Second Season, Junjyou Romantica II",https://cdn.myanimelist.net/images/anime/6/38417.jpg,TV,Manga,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.15,66565,374.0,799,108186,1123,Fall 2008,Nozomi Entertainment,Studio Deen,2008-10-12,2008-12-28
7054,Kaichou wa Maid-sama!,Maid Sama!,会長はメイド様!,Class President is a Maid!,https://cdn.myanimelist.net/images/anime/6/25254.jpg,TV,Manga,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.2,315130,314.0,71,531292,14436,Spring 2010,Sentai Filmworks,J.C.Staff,2010-04-02,2010-09-24
11123,Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World's Greatest First Love 2,世界一初恋 2,"Sekai-ichi Hatsukoi 2, Sekai'ichi Hatsukoi 2",https://cdn.myanimelist.net/images/anime/8/34871.jpg,TV,Manga,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.23,53285,288.0,945,89543,726,Fall 2011,Funimation,Studio Deen,2011-10-08,2011-12-24
14227,Tonari no Kaibutsu-kun,My Little Monster,となりの怪物くん,"Tonari no Kaibutsukun, The Monster Next Door, My Neighbor Monster-kun",https://cdn.myanimelist.net/images/anime/4/39779.jpg,TV,Manga,13,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.71,281448,1093.0,88,482105,4064,Fall 2012,"NIS America, Inc.",Brain's Base,2012-10-02,2012-12-25
269,Bleach,Bleach,BLEACH - ブリーチ -,,https://cdn.myanimelist.net/images/anime/3/40451.jpg,TV,Manga,366,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.9,433097,693.0,18,819284,40718,Fall 2004,Viz Media,Studio Pierrot,2004-10-05,2012-03-27
59,Chobits,Chobits,ちょびっツ,,https://cdn.myanimelist.net/images/anime/4/24648.jpg,TV,Manga,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.53,175388,1546.0,188,317641,3271,Spring 2002,"Funimation, Geneon Entertainment USA",Madhouse,2002-04-03,2002-09-25
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,君に届け,Reaching You,https://cdn.myanimelist.net/images/anime/7/17890.jpg,TV,Manga,25,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.13,212710,400.0,111,417136,8041,Fall 2009,"NIS America, Inc.",Production I.G,2009-10-07,2010-03-31
1735,Naruto: Shippuuden,Naruto: Shippuden,ナルト- 疾風伝,Naruto Hurricane Chronicles,https://cdn.myanimelist.net/images/anime/5/17407.jpg,TV,Manga,500,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,8.18,385179,337.0,20,794112,42846,Winter 2007,Viz Media,Studio Pierrot,2007-02-15,2017-03-23
210,Ranma ½,Ranma ½,らんま1/2,"Ranma 1/2, Ranma ½ Nettou Hen",https://cdn.myanimelist.net/images/anime/13/6441.jpg,TV,Manga,161,Finished Airing,24 min. per ep.,R+ - Mild Nudity,7.85,59911,802.0,623,134537,2742,Spring 1989,Viz Media,Studio Deen,1989-04-15,1992-09-25
4224,Toradora!,Toradora!,とらドラ！,Tiger X Dragon,https://cdn.myanimelist.net/images/anime/13/22128.jpg,TV,Light novel,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.39,557898,174.0,13,910373,35322,Fall 2008,"NIS America, Inc.",J.C.Staff,2008-10-02,2009-03-26
10030,Bakuman. 2nd Season,Bakuman.,バクマン。2ndシーズン,Bakuman Season 2,https://cdn.myanimelist.net/images/anime/3/34923.jpg,TV,Manga,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.49,122090,108.0,374,201720,1023,Fall 2011,Media Blasters,J.C.Staff,2011-10-01,2012-03-24
74,Gakuen Alice,Gakuen Alice,学園アリス,"Campus Alice, Alice Academy",https://cdn.myanimelist.net/images/anime/4/18118.jpg,TV,Manga,26,Finished Airing,25 min. per ep.,G - All Ages,7.77,33244,941.0,1291,62951,1403,Fall 2004,Nozomi Entertainment,Group TAC,2004-10-30,2005-05-14
4722,Skip Beat!,Skip Beat!,スキップ・ビート！,,https://cdn.myanimelist.net/images/anime/11/84022.jpg,TV,Manga,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.24,90699,282.0,488,164738,4668,Fall 2008,Pied Piper,Hal Film Maker,2008-10-06,2009-03-30
14397,Chihayafuru 2,,ちはやふる 2,Chihayafull 2,https://cdn.myanimelist.net/images/anime/6/47435.jpg,TV,Manga,25,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.47,62720,116.0,757,114340,1116,Winter 2013,Sentai Filmworks,Madhouse,2013-01-12,2013-06-29
1557,Shounen Onmyouji,Shonen Onmyoji,少年陰陽師,"The Young Spirit Master, Teenager Onmyoji, Shonen Onmyouji",https://cdn.myanimelist.net/images/anime/11/23852.jpg,TV,Light novel,26,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,7.68,14619,1158.0,1793,39422,274,Fall 2006,"Funimation, Geneon Entertainment USA",Studio Deen,2006-10-03,2007-03-13
10800,Chihayafuru,Chihayafuru,ちはやふる,Chihayafull,https://cdn.myanimelist.net/images/anime/3/35749.jpg,TV,Manga,25,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.29,89081,246.0,348,213902,4524,Fall 2011,Sentai Filmworks,Madhouse,2011-10-05,2012-03-28
