anime_id,genre_id
11013,14
11013,8
11013,4
11013,41
2104,13
2104,14
2104,4
2104,8
2104,34
5262,22
5262,4
5262,13
5262,35
721,12
721,14
721,39
721,4
721,22
12365,12
12365,14
12365,4
12365,8
6586,21
6586,13
6586,35
178,13
178,14
178,4
178,22
178,35
2787,12
2787,13
2787,14
2787,39
2787,19
2787,41
4477,2
4477,14
4477,4
4477,18
4477,29
853,13
853,14
853,4
853,5
853,35
4814,12
4814,14
4814,4
4814,42
7054,14
7054,4
7054,13
7054,35
11123,12
11123,14
11123,4
11123,42
14227,13
14227,14
14227,4
14227,29
14227,35
269,3
269,27
269,4
269,19
269,8
269,41
59,12
59,25
59,14
59,15
59,6
59,4
6045,12
6045,13
6045,14
6045,29
6045,35
1735,3
1735,27
1735,4
1735,19
1735,8
1735,10
210,39
210,10
210,29
210,4
4224,14
4224,29
4224,4
4224,13
10030,12
10030,14
10030,4
10030,8
74,4
74,13
74,3
74,35
4722,12
4722,14
4722,4
4722,35
14397,12
14397,1
14397,13
14397,18
14397,28
14397,29
1557,39
1557,16
1557,19
1557,41
1557,22
1557,11
1557,35
10800,12
10800,1
10800,13
10800,18
10800,28
10800,29
3731,14
3731,4
3731,35
9513,13
9513,16
9513,4
9513,19
9513,8
9513,41
5835,12
5835,14
5835,35
9863,8
9863,4
9863,13
7817,13
7817,14
7817,15
7817,6
7817,4
966,13
966,15
966,6
966,4
966,29
120,12
120,14
120,39
120,4
120,29
120,35
957,12
957,27
957,39
957,14
957,4
957,11
21,12
21,3
21,27
21,39
21,4
21,19
21,8
1974,12
1974,35
857,1
857,4
857,6
857,19
857,8
1914,12
1914,27
1914,39
1914,14
1914,4
1914,11
249,27
249,16
249,14
249,39
249,4
249,19
249,8
249,41
249,22
249,11
6645,15
6645,6
6645,4
6645,13
5690,14
5690,2
5690,4
5690,18
1571,4
1571,41
1571,31
1571,23
1571,35
11759,25
11759,13
11759,14
11759,28
11759,19
7674,12
7674,14
7674,4
7674,8
1698,12
1698,2
1698,14
1698,4
1698,18
1698,29
14713,16
14713,39
14713,14
14713,4
14713,41
14713,35
232,12
232,13
232,27
232,14
232,39
232,4
232,22
232,35
233,35
233,4
233,25
9656,12
9656,13
9656,14
9656,29
9656,35
9926,12
9926,14
9926,4
9926,42
2564,25
2564,13
2564,14
2564,4
2564,29
3092,12
3092,14
3092,4
3092,42
1579,12
1579,2
1579,13
1579,14
1579,4
1579,5
1579,22
1579,35
32370,3
32370,27
32370,16
32370,19
32370,8
11547,12
11547,14
11547,4
11547,19
11547,9
11547,11
11547,35
33185,4
33185,19
33185,8
33185,9
33185,11
7518,21
7518,2
7518,29
16642,43
7605,27
7605,39
7605,4
7605,21
7605,22
9389,40
9389,36
9389,25
9389,27
34152,19
34152,23
34152,37
34152,31
9998,14
9998,12
9998,20
9998,4
153,27
153,39
153,19
153,41
153,22
27417,24
27417,5
27417,13
27417,35
5588,43
23903,14
23903,4
13247,15
13247,4
13247,27
33398,4
1051,25
1051,27
1051,40
1051,19
1051,32
12447,4
3294,25
3294,40
3294,31
3294,32
3294,36
1381,25
1381,14
1381,19
1381,32
1381,36
8022,4
32666,4
33775,9
33775,19
20667,40
20667,32
37447,8
37447,31
37447,27
35277,12
35277,11
14353,12
14353,37
14353,28
14353,31
14353,33
32747,2
5235,39
5235,28
8154,27
8154,39
8154,4
8154,41
8154,23
5117,39
5117,43
26443,19
26443,8
26443,6
26443,27
16251,19
16251,32
16251,25
16251,27
6777,2
35594,39
35594,19
36847,39
36847,6
32561,4
24275,15
24275,4
29363,13
29363,14
29363,4
29363,29
29363,35
3669,21
3669,27
1811,19
1811,25
1811,36
5036,2
9690,27
9690,39
9690,19
9690,8
9690,22
9721,43
812,12
812,22
812,25
812,27
19849,29
19849,4
7791,2
7791,4
7791,13
7791,29
747,12
747,14
747,17
11009,39
11009,21
11009,4
11009,27
8726,29
8726,4
20229,12
20229,11
33155,19
33155,13
10869,1
10869,38
10869,8
10869,21
10869,36
12589,21
12589,27
3981,43
15813,39
15813,22
36951,27
36951,16
36951,4
36951,19
36951,8
36951,41
36951,10
33462,4
33462,13
12569,22
12569,13
12569,35
34908,21
34908,2
1586,40
1586,27
1778,11
1778,4
1778,27
20057,25
20057,4
20057,36
18637,25
18637,3
18637,40
18637,19
18637,8
6828,4
30347,27
30347,39
30347,19
30347,8
30347,41
30347,22
14249,27
18893,15
18893,19
18893,25
35334,2
35334,4
36755,43
3164,29
3164,4
3164,13
2632,25
2632,27
2632,4
2632,8
2632,21
2199,12
2199,39
2199,27
1286,40
1286,32
1286,25
34561,39
34561,19
34561,25
515,27
515,39
515,19
515,41
515,22
33907,2
238,3
238,27
238,19
238,8
238,10
5990,25
5990,14
5990,39
5990,4
5990,19
5990,36
27989,12
27989,2
27989,13
36838,25
36838,4
36838,19
36838,8
36838,9
36838,11
36838,34
1200,9
1200,39
1200,27
2769,19
2769,25
2769,27
24031,15
24031,29
24031,4
37421,29
3975,29
3975,4
29583,1
29583,8
29583,4
29583,13
22839,29
22839,13
10935,12
10935,13
37711,12
37711,14
37711,13
9880,39
9880,8
37435,12
37435,14
37435,2
14007,12
14007,25
14007,40
14007,8
14007,32
14007,36
17147,4
17147,13
28023,21
22273,37
22273,28
33885,2
11769,13
11769,15
11769,6
11769,4
11769,30
3232,25
3232,27
3232,40
3232,15
3232,4
3232,19
10250,4
10250,3
15771,15
15771,29
15771,4
1360,43
8986,16
8986,19
8986,23
8986,41
4590,43
3675,12
3675,25
3675,39
3675,19
3675,36
33153,43
33337,12
33337,15
33337,39
33337,20
33337,31
1396,12
1396,1
1396,8
1396,25
23855,25
23855,40
23855,4
23855,19
23855,34
2687,39
2687,4
29543,21
34350,15
34350,31
34350,27
36982,21
36982,4
534,27
534,16
534,39
534,4
534,22
32032,25
30694,3
30694,27
30694,39
30694,4
30694,19
30694,8
30694,10
19889,29
19889,4
19889,34
988,4
988,19
988,9
988,32
988,11
29389,21
29389,27
14355,29
14355,4
14355,27
11827,39
11827,19
11827,43
35240,19
35240,11
35240,31
10197,24
10197,4
10197,41
15279,2
1587,16
1587,11
1587,41
32621,27
32621,39
32621,10
32621,21
32621,22
10588,25
10588,3
10588,13
10588,27
10588,41
10588,31
6922,39
6922,19
6922,22
6922,41
17649,19
17649,8
17649,4
17649,13
35781,43
33600,27
33600,39
33600,19
33600,22
33600,11
3254,12
3254,25
3254,14
3254,19
3254,20
3254,31
3254,23
3254,43
4851,15
4851,19
4851,4
4851,27
35759,25
35759,40
35759,15
35759,19
35759,36
10627,1
10627,4
15211,31
15211,35
13965,15
13965,11
13965,4
6702,27
6702,39
6702,4
6702,19
6702,8
6702,22
34975,19
34975,21
34975,3
18071,14
18071,15
19841,29
19841,4
19841,18
24641,43
24021,43
4480,43
37223,43
5199,4
5199,34
5199,13
22225,39
22225,6
22225,4
9442,43
33274,4
32484,43
35138,40
35138,19
35138,21
35138,25
146,12
146,25
146,14
146,4
146,6
146,22
21267,29
36289,2
221,43
221,19
221,4
221,25
9546,12
1483,31
1483,27
2343,25
2343,39
2343,16
2343,23
2343,43
32518,43
1640,12
1640,25
1640,39
1640,14
1640,41
1640,42
35314,19
35314,8
35314,13
34476,29
34476,25
