anime_id,song_name,type
11013,"""Nirvana"" by MUCC",opening_theme
11013,"#1: ""Nirvana"" by MUCC (eps 1, 11-12)",ending_theme
11013,"#2: ""Rakuen no Photograph (楽園のPhotograph)"" by Soushi Miketsukami (Yuichi Nakamura) (eps 2, 9)",ending_theme
11013,"#3: ""Kimi wa (君は)"" by Ririchiyo Shirakiin (Rina Hidaka) (eps 3, 8)",ending_theme
11013,"#4: ""one way"" by Banri Watanuki (Takuya Eguchi) & Zange Natsume (Mamoru Miyano) (ep 4)",ending_theme
11013,"#5: ""SM Hantei Forum (SM判定フォーラム)"" by Kagerou Shoukiin (Tomokazu Sugita) (ep 5, 10)",ending_theme
11013,"#6: ""sweets parade"" by Karuta Roromiya (Kana Hanazawa) (ep 6)",ending_theme
11013,"#7: ""Taiyou to Tsuki (太陽と月)"" by Renshou Sorinozuka (Yoshimasa Hosoya) & Nobara Yukinokouji (Youko Hikasa) (ep 7)",ending_theme
2104,"""Romantic summer"" by SUN&LUNAR",opening_theme
2104,"#1: ""Ashita e no Hikari (明日への光)"" by Asuka Hinoi (1-13, 26)",ending_theme
2104,"#2: ""Dan Dan Dan"" by SUN&LUNAR (eps 14-25)",ending_theme
5262,"#1: ""Minna no Tamago (みんなのたまご)"" by Shugo Chara Egg (eps 1-13)",opening_theme
5262,"#2: ""Shugo Shugo! (しゅごしゅご!)"" by Shugo Chara Egg (eps 14-25)",opening_theme
5262,"#3: ""Omakase♪Guardian (おまかせ♪ガーディアン)"" by Guardians 4 (eps 26-38)",opening_theme
5262,"#4: ""School Days"" by Guardians 4 (eps 39-51)",opening_theme
5262,"#1: ""Rottara Rottara (ロッタラ ロッタラ)"" by Buono! (eps 1-17)",ending_theme
5262,"#2: ""co.no.mi.chi"" Buono! (eps 18-25)",ending_theme
5262,"#3: ""MY BOY"" by Buono! (eps 26-38)",ending_theme
5262,"#4: ""Take it Easy!"" by Buono! (eps. 39-50)",ending_theme
5262,"#5: ""Honto no Jibun (ホントのじぶん)"" by Buono! (ep 51)",ending_theme
721,"""Morning Grace"" by Ritsuko Okazaki",opening_theme
721,"""Watashi No Ai Wa Chiisaikeredo"" by Ritsuko Okazaki",ending_theme
12365,"#1: ""Moshimo no Hanashi (もしもの話)"" by nano.RIPE (eps 1-13)",opening_theme
