anime_id,producer_id
11013,219
11013,91
11013,491
11013,726
11013,885
2104,219
2104,878
2104,533
2104,1111
5262,533
5262,1111
721,189
721,701
721,844
12365,603
12365,343
6586,435
6586,603
6586,646
178,880
178,523
2787,783
2787,1092
4477,407
4477,470
4477,816
853,127
853,220
853,909
4814,189
4814,272
4814,569
4814,456
7054,849
7054,783
7054,220
7054,1072
11123,637
11123,32
11123,368
11123,456
14227,437
14227,885
14227,1111
14227,386
269,603
269,692
269,1038
269,885
269,36
269,1111
59,849
59,478
6045,127
6045,603
6045,909
1735,603
1735,692
1735,944
1735,885
1735,1111
1735,929
210,407
210,727
210,30
210,600
4224,522
4224,753
4224,881
4224,692
4224,320
10030,603
10030,343
74,232
74,885
4722,838
4722,533
4722,220
4722,692
14397,127
14397,909
1557,533
1557,1030
10800,127
10800,909
3731,288
3731,366
9513,435
9513,603
9513,1038
9513,1079
9863,508
9863,1111
9863,1038
7817,603
7817,368
7817,646
7817,1038
7817,595
7817,86
7817,768
7817,548
966,165
120,35
120,437
120,1111
957,232
957,343
21,407
21,374
21,603
1974,376
1974,1073
857,800
857,386
1914,232
1914,343
249,435
249,727
6645,844
5690,407
5690,816
1571,508
1571,1111
1571,68
1571,800
11759,522
11759,947
11759,1092
11759,596
11759,929
7674,603
7674,343
1698,522
1698,753
1698,407
1698,1038
1698,386
1698,34
1698,816
14713,220
14713,646
14713,1038
14713,838
14713,533
14713,1111
232,302
232,232
232,386
232,343
9656,127
9656,603
9656,909
9926,637
9926,368
9926,646
9926,32
9926,456
2564,392
3092,189
3092,272
3092,569
3092,456
1579,220
1579,557
1579,885
1579,177
32370,603
32370,1038
32370,885
32370,1111
11547,1054
11547,1111
7518,477
7518,343
16642,434
9998,138
9998,1109
153,232
27417,272
13247,61
12447,368
3294,9
1381,366
1381,1017
1381,340
33775,708
20667,749
37447,862
37447,727
32747,290
5235,533
5235,624
5117,178
5117,983
26443,1103
26443,646
35594,273
36847,807
29765,403
24275,343
29363,366
3669,30
1811,48
1811,320
1811,91
5036,878
9690,765
9721,486
812,366
812,533
19849,731
7791,91
7791,615
7791,849
7791,838
7791,929
747,272
747,564
8726,189
8726,91
8726,947
8726,849
8726,784
8726,814
8726,838
20229,240
33155,366
10869,358
12589,33
3981,811
15813,320
15813,315
15813,885
36951,366
33462,790
33462,1093
33462,646
1778,206
20057,817
20057,366
20057,947
18637,226
30347,885
18893,947
18893,1090
18893,32
18893,940
18893,991
18893,533
35334,343
35334,404
36755,336
3164,737
2632,1065
1286,1103
34561,967
34561,753
34561,885
34561,727
515,76
515,456
33907,168
238,407
5990,315
27989,637
27989,838
27989,929
36838,603
36838,1038
36838,885
36838,1111
1200,849
2769,492
2769,745
24031,646
24031,406
24031,1056
24031,838
24031,533
22839,255
22839,731
10935,39
10935,753
10935,878
10935,407
10935,1038
10935,885
10935,34
37435,947
17147,343
22273,1090
22273,753
22273,596
11769,637
11769,994
3232,91
15771,48
15771,885
15771,386
1360,1025
1360,983
4590,114
4590,811
33153,417
33337,637
33337,219
33337,879
33337,509
33337,366
33337,198
33337,437
33337,676
33337,274
2687,407
29543,1080
34350,637
34350,509
34350,366
34350,315
34350,130
34350,657
36982,74
534,426
534,841
534,1111
534,692
32032,1026
30694,407
30694,308
19889,320
988,683
29389,343
14355,641
35240,637
35240,91
35240,366
35240,130
35240,1020
35240,274
35240,657
15279,637
15279,658
1587,885
1587,726
32621,1080
10588,1006
10588,1092
10588,885
10588,726
6922,620
6922,849
6922,783
6922,32
6922,953
6922,272
3254,486
4851,909
6702,646
6702,624
6702,1038
6702,386
6702,838
6702,1111
19841,878
24641,486
24021,486
4480,460
5199,878
22225,947
9442,80
9442,225
32484,332
146,849
146,783
146,91
146,305
21267,1072
21267,700
221,488
9546,784
1483,30
1483,909
32518,815
34476,668
7082,533
7082,1111
10521,435
10521,885
10521,929
3335,977
3540,418
8879,407
5993,1091
5993,577
5993,628
22493,1080
23229,646
23229,456
20087,1111
4130,689
4130,366
27727,838
27727,533
25461,403
33094,435
33094,938
33094,885
209,816
209,885
209,925
209,836
30721,537
30721,1066
30721,223
30721,368
30721,32
30721,304
30721,951
30721,547
30721,437
9509,629
13047,226
24073,413
31699,127
7593,320
8897,849
8897,886
7411,1082
7411,80
5154,178
1388,438
1388,621
22,437
22,381
32219,223
1016,408
1016,91
6822,343
2051,127
2051,854
5943,127
7155,878
7155,784
34943,150
34943,522
34943,753
36398,343
6727,47
22495,1080
7745,30
8671,343
24999,343
4804,272
8719,343
1160,210
1160,738
353,977
26349,790
26349,646
2762,48
32792,1065
32792,882
32792,366
32792,456
32792,533
32792,392
15809,637
15809,753
15809,79
15809,838
15809,533
3627,637
3627,320
3627,844
20085,849
20085,831
20085,644
17535,1038
1151,912
2025,219
2025,91
2025,885
2025,726
15125,641
15125,646
7193,548
7193,595
7193,91
13585,48
13585,407
13585,816
1969,533
22295,444
22295,234
808,91
808,1013
35507,637
35507,662
35507,64
35507,284
35507,368
35507,110
35507,995
35507,658
35328,333
37150,251
7836,854
3707,1091
3707,577
18819,136
18819,343
9074,320
9074,219
9074,692
9074,844
35503,1016
446,91
446,408
446,212
1693,882
25441,790
2476,637
2476,508
2476,838
2476,800
19871,508
19871,1111
19871,1038
18,724
18,523
3194,407
5060,272
5060,646
546,272
546,305
22617,1080
5466,366
7625,279
7625,387
5624,922
33154,407
2618,61
1921,1027
1921,600
1105,545
31073,1080
9754,470
14889,878
14889,606
29830,947
29830,553
23475,1082
1259,603
18533,871
26337,1036
26301,1036
790,783
790,1017
790,624
31486,468
31486,130
31486,1016
31486,833
31486,270
31486,533
1130,1081
4918,386
33095,35
33095,386
33095,726
33095,646
37208,251
8290,129
3747,787
3747,577
30199,343
10218,778
10218,951
10218,545
678,366
17979,1080
18629,163
5041,885
6707,219
6707,885
6707,726
37320,818
37320,391
236,533
31189,711
12623,719
2522,788
9515,1090
24873,1103
24873,646
24873,849
24873,386
24873,548
24873,613
24873,73
24873,54
5984,34
5984,407
5984,509
8706,637
8706,652
12191,326
33018,75
33018,333
33018,885
33018,951
11061,127
11061,603
11061,909
23623,637
23623,1111
4537,600
32983,220
32983,437
32983,885
32983,1111
2180,629
4497,486
32122,1038
32122,1111
17747,486
29377,343
64,189
64,523
64,849
64,834
64,838
5682,522
382,1072
821,407
821,724
7176,18
1726,912
1726,658
1206,33
33300,1111
8277,637
8277,658
8277,522
8277,91
8277,1090
8277,698
8277,807
21681,91
21681,448
21681,508
21681,368
21681,304
21681,533
21681,1111
28211,420
28211,545
28211,407
28211,1038
28211,152
28211,885
28211,48
28211,34
28211,816
254,366
3950,950
13185,1038
13185,1111
13185,1063
865,533
865,392
36662,986
36662,1099
37509,272
18723,158
34643,522
34643,482
30547,230
19363,407
19363,1038
19363,152
19363,885
35249,637
35249,321
35249,872
799,76
560,320
2072,944
30952,547
30952,386
30952,553
30952,991
1124,366
1124,1017
1124,340
29703,434
29703,956
2171,696
6337,486
34498,642
34498,168
34498,494
34498,937
34498,885
34498,48
34498,926
29623,471
1837,189
1837,912
1837,329
1837,32
1837,658
23299,1111
8769,91
8769,1092
8769,885
8769,934
24457,429
3723,882
3723,639
880,849
880,386
35889,879
35889,1092
35889,368
35889,130
35889,32
35889,596
35889,533
7639,849
7639,357
19391,381
19391,227
9832,1041
2394,1097
31747,503
31747,343
20025,407
2281,437
2281,1080
19255,637
19255,522
4318,878
2838,878
2838,486
2264,553
17624,287
8241,508
8241,838
21771,1111
31165,885
1925,600
31387,1072
32755,446
6015,178
19009,1008
19009,899
32380,1072
4024,1080
10718,788
1744,288
32593,314
33051,1065
33051,533
33051,726
8751,343
1772,231
831,849
831,478
831,925
831,456
1609,637
1609,366
1910,30
1910,909
29738,127
29738,543
29738,909
17955,1080
21969,61
3115,456
1450,366
24377,781
34037,1036
1122,523
16726,1001
16726,413
26023,547
26023,533
26023,304
26023,941
3464,302
3464,881
3464,783
3464,32
3464,712
8132,97
8132,533
8132,688
17949,137
17949,816
33183,1026
33183,967
16377,731
4050,881
4050,1111
798,637
798,366
32854,168
24785,343
16035,637
16035,1066
16035,366
26085,790
26085,646
10420,80
15611,1016
15611,1038
15611,533
15611,1111
25567,547
25567,333
25567,304
12445,607
12445,219
12445,658
35370,1083
35370,646
28913,637
28913,885
242,523
242,909
1454,1017
17493,208
17493,36
2717,214
2717,659
1686,603
1686,1038
1686,1111
33743,753
33743,947
33743,185
33743,596
35667,343
9834,816
9834,885
9834,692
9834,624
28433,301
10901,165
7446,663
7446,889
3922,438
34323,700
30556,749
2732,749
2732,366
2732,343
36519,486
36519,343
3016,315
6336,366
6336,456
11465,933
19383,1111
33985,28
16009,189
16009,368
16009,320
16009,32
16009,941
12471,749
12471,913
12471,842
12471,689
12471,448
12471,366
12471,726
12471,647
12471,456
12471,816
3448,838
956,262
22329,163
4536,533
7655,343
877,127
877,603
877,909
6246,226
32083,637
32083,1016
32083,472
32083,366
1999,218
1999,700
370,878
35478,1036
35478,903
37106,102
37106,511
10463,451
8966,30
399,366
399,1017
399,340
1774,366
3889,76
1161,456
9167,878
10923,1016
10923,270
37127,257
2722,534
33255,1103
33255,817
33255,603
33255,470
33255,30
33255,168
33255,32
33255,868
33255,838
33255,1111
21395,747
32275,344
28927,858
28927,603
17249,1111
1761,259
1761,226
5909,606
34612,1103
34612,817
34612,603
34612,470
34612,30
34612,168
34612,32
34612,868
34612,1111
1565,841
1565,523
1565,30
1565,1039
1565,1111
8407,589
8407,32
8407,1018
8407,456
36825,1111
8999,20
2164,315
2164,366
2164,343
33079,979
9849,1040
1216,142
3091,849
3091,677
1846,343
11763,91
11763,641
7861,61
1026,366
801,315
801,1038
801,366
801,76
6112,800
33286,91
33286,1092
33286,32
33286,596
33286,657
20175,61
29829,947
29829,553
2651,1065
2985,603
2985,909
24181,966
5678,343
5678,154
1283,816
1283,1111
1283,1072
34392,1083
17211,165
29764,403
3880,47
6582,947
510,142
6149,311
34528,1036
16894,637
16894,603
16894,879
16894,366
16894,198
16894,437
219,91
219,456
219,320
219,626
219,1057
219,35
219,1111
219,700
3046,811
3046,933
9968,460
16890,533
16890,1111
193,509
193,32
193,595
193,456
27909,434
27909,956
33310,1111
2004,127
2004,909
4879,127
4879,456
4879,909
13937,486
3367,880
1085,595
35330,35
2673,165
13103,970
24819,880
18469,914
10278,849
10278,1103
10278,885
10278,817
37031,81
37031,381
37031,947
37031,553
35589,256
35589,522
35589,219
35589,618
35589,642
35589,368
35589,726
35589,4
282,885
1644,469
1644,712
1644,231
1644,11
1644,613
19569,434
6472,407
6472,1061
12059,781
14543,1091
14543,978
33449,422
8917,320
8917,753
1622,885
1622,558
33086,1037
166,1004
166,874
1147,909
20031,368
20031,646
20031,110
20031,456
20031,995
20031,1111
20031,658
295,32
295,105
29371,343
2334,1036
2334,343
17295,399
10909,92
23725,703
12879,32
12879,1111
12879,1018
12879,456
16201,844
16201,643
16201,320
16201,32
16201,386
23171,129
3556,983
10325,577
10325,793
30411,533
28891,321
28891,603
5133,127
5133,226
35677,637
35677,838
35677,929
9540,435
9540,784
836,320
836,692
836,844
20241,61
6447,709
7532,1011
3457,437
3457,885
3457,1111
8862,878
2913,407
3227,1003
12979,603
12979,1111
18677,637
18677,550
18677,378
18677,32
18677,456
18677,582
18677,929
1769,478
24921,533
1012,366
1012,784
5023,407
50,849
50,366
3251,165
23479,434
22417,508
29477,343
19217,403
35696,343
5665,438
35078,662
35078,91
35078,541
35078,642
35078,368
35078,272
35078,657
1416,882
1416,909
9981,343
1452,849
1452,773
36309,637
36309,456
523,451
611,668
37140,407
37140,308
1942,595
125,637
8968,955
14685,366
14685,522
2896,1082
2896,736
2896,983
4196,522
4196,1090
4196,368
4196,84
4196,995
4196,658
11855,711
11855,628
34198,637
34198,749
22131,1111
1913,108
1142,407
1142,522
1142,816
1142,603
211,486
211,488
1884,366
31338,892
31338,1072
31338,368
31338,304
31338,547
31338,533
31338,1111
792,407
792,838
36811,343
3689,837
23755,91
23755,726
23755,1038
23755,885
23755,386
24,523
24,646
24,320
24,800
24,533
24,1111
24,658
813,407
4385,262
6802,885
6802,1111
29963,343
21575,366
30167,343
24833,603
24833,646
24833,407
24833,1038
24833,409
24833,547
10719,849
10719,1016
10719,951
10719,658
4939,146
6713,600
7265,1082
7265,1078
8918,551
8918,71
33566,376
5153,127
4440,61
36067,266
33164,637
33164,838
29918,1038
10570,628
4364,1082
21437,637
21437,689
21437,448
21437,366
