anime_id,related_anime_id,relation_type
11013,13403,Sequel
2104,4163,Sequel
2104,5199,Side story
2104,28385,Alternative version
5262,2923,Prequel
5262,7082,Sequel
721,3265,Summary
12365,10030,Prequel
12365,15711,Prequel
12365,23361,Other
6586,8894,Side story
6586,9441,Sequel
178,179,Alternative version
2787,355,Prequel
2787,3956,Spin-off
2787,14957,Spin-off
2787,6572,Sequel
4477,1698,Prequel
4477,5656,Other
4477,6187,Side story
4477,8038,Sequel
4814,3092,Prequel
4814,25649,Sequel
7054,9366,Side story
7054,10298,Side story
11123,9926,Prequel
14227,16866,Alternative setting
269,762,Side story
269,834,Side story
269,1686,Side story
269,2889,Side story
269,4835,Side story
269,8247,Side story
269,35118,Side story
59,596,Side story
59,1311,Summary
6045,9656,Sequel
6045,10152,Summary
1735,20,Prequel
1735,2472,Side story
1735,4437,Side story
1735,6325,Side story
1735,8246,Side story
1735,10589,Side story
1735,13667,Side story
1735,16870,Side story
1735,32365,Side story
1735,4134,Spin-off
1735,12979,Spin-off
1735,10075,Other
1735,19511,Other
1735,28755,Sequel
1735,34566,Sequel
210,418,Side story
210,792,Side story
210,1008,Side story
210,5493,Side story
210,1007,Sequel
210,6713,Other
210,10819,Other
210,10822,Other
210,10823,Other
210,10824,Other
210,10825,Other
4224,6127,Side story
4224,11553,Side story
4224,23701,Summary
10030,7674,Prequel
10030,12365,Sequel
10030,15711,Summary
10030,23369,Other
14397,10800,Prequel
14397,18745,Sequel
10800,14397,Sequel
9513,9120,Alternative version
9513,10479,Other
5835,6726,Summary
9863,9969,Character
9863,10775,Summary
9863,16395,Side story
9863,16718,Other
966,2172,Side story
966,2450,Side story
966,3744,Side story
966,3745,Side story
966,3853,Side story
966,6217,Side story
966,6460,Side story
966,8358,Side story
966,8359,Side story
966,8360,Side story
966,8361,Side story
966,8362,Side story
966,8363,Side story
966,8364,Side story
966,8365,Side story
966,8366,Side story
966,8367,Side story
966,8368,Side story
966,8369,Side story
966,10116,Side story
966,12499,Side story
966,17113,Side story
966,21395,Side story
966,27653,Side story
966,31978,Side story
966,34244,Side story
966,35686,Side story
966,36566,Side story
966,9799,Spin-off
966,14095,Other
966,33661,Other
966,34314,Other
966,34835,Other
966,35652,Other
957,1914,Sequel
957,2193,Summary
21,459,Side story
21,460,Side story
21,461,Side story
21,462,Side story
21,463,Side story
21,464,Side story
